region,regionCode,puuid,accountId,matchId,gameCreation,gameDuration,gameStartTimestamp,gameEndTimestamp,gameEndTimestampToDate,gameMode,gameType,platformId,assists,baronKills,champExperience,champLevel,championId,championName,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,dragonKills,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summonerLevel,summonerName,teamPosition,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalTimeCCDealt,totalUnitsHealed,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,abilityUses,baronTakedowns,bountyGold,completeSupportQuestInTime,controlWardsPlaced,deathsByEnemyChamps,elderDragonKillsWithOpposingSoul,elderDragonMultikills,enemyChampionImmobilizations,enemyJungleMonsterKills,epicMonsterSteals,killsWithHelpFromEpicMonster,legendaryCount,multiKillOneSpell,multikills,multikillsAfterAggressiveFlash,pickKillWithAlly,skillshotsDodged,skillshotsHit,soloBaronKills,soloKills,takedowns,teamBaronKills,teamElderDragonKills,teamRiftHeraldKills,tookLargeDamageSurvived,turretPlatesTaken,turretsTakenWithRiftHerald,wardTakedowns,wardsGuarded,kills
ASIA,KR,l67TkcGvV0U_4Tt9Gv0UR1jJ3i0P7IwsElyzPJ129Te5zVJ7Dyl4v9ELwgFIkKIYDGngeG6-Qh_oBA,QFZ2XqMEJ25FZoEc7qRdzIE0uV1EBPqzYiUZDm8J3-TQxB8,KR_6711746454,1695220970696,3070,1695220970696,1695224041388,2023-09-20,CLASSIC,MATCHED_GAME,KR,7,0,20604,18,19,Warwick,3950,18673,3950,77512,14,0,1,False,True,15908,TOP,1,1,1,TOP,0,3,1,558,64063,11768,21516,20,0,0,0,0,0,133015,15819,41665,SOLO,79,49,54,15,249,Player_326498,TOP,218821,28084,66183,27601,170,195,1,21742,496,3002,4,4,7,31,0,6,8,True,197,0,375,0,0,14,0,0,47,0.0,0,1,0,0,0,0,8,7,0,0,1,13,2,1,0,0,1,0,6,2,6.0
ASIA,KR,u7iRqHt-Ss0ZB15UVDJlMRcXvESlsuD7uU2D0kzZhKjhmMFQdBroLdP0uqkmtIgxHKwLTIIE22Lf6A,oQB_7btbj7uUtF8TU2aktKc4P6tXTrIZ_6quDRg07dB2Qow39-GS8Qhd,KR_6711746454,1695220970696,3070,1695220970696,1695224041388,2023-09-20,CLASSIC,MATCHED_GAME,KR,15,2,29382,18,234,Viego,4251,64950,4251,81473,8,3,4,False,True,21786,JUNGLE,0,2,1,JUNGLE,1907,5,3,604,37419,8330,30776,205,0,0,0,1,0,365925,34827,31574,NONE,271,216,112,37,173,Player_326499,JUNGLE,458534,46828,64538,34953,91,391,1,55189,3670,2187,0,3,7,34,12,5,6,True,636,2,0,0,3,8,0,1,48,16.0,1,0,0,0,5,0,24,17,38,0,0,33,2,1,0,1,0,0,5,1,18.0
ASIA,KR,X6spKC3hbEni_SCbvmh_s2AAFA77zyS_d0s4x_oHuJNiXeR7LSP8MAezvYCP-MHMYw_7M0WnmL_lGQ,AiN5YYIP2CEX5c-N7McBTDGA75asfBRdYnHhz0R9v55I3_M,KR_6711746454,1695220970696,3070,1695220970696,1695224041388,2023-09-20,CLASSIC,MATCHED_GAME,KR,9,0,33833,18,101,Xerath,2047,20140,2047,15939,5,2,0,False,True,25890,MIDDLE,1,1,1,MIDDLE,0,20,3,2119,351160,82659,16387,9,0,0,0,0,1,18902,815,14638,SOLO,192,100,69,113,430,Player_326500,MIDDLE,382973,87915,32327,5726,325,370,1,12909,4440,1301,0,1,7,45,2,8,14,True,474,2,675,0,2,5,0,0,25,6.0,0,1,1,0,5,0,22,11,25,0,8,37,2,1,0,0,1,0,8,0,28.0
ASIA,KR,tF8h8QhvKvjEpJDI61aU3muRWSuqtiGwyp1zUONc4F36KMidpX3n5yAc17XOfOcR4Hv-P8mSpU5ggw,FroHWIoQ-1wpq9Q5rQfnd0xmEB6SgWQQ9lqbH00gGqj0,KR_6711746454,1695220970696,3070,1695220970696,1695224041388,2023-09-20,CLASSIC,MATCHED_GAME,KR,30,0,29795,18,202,Jhin,10440,32682,10440,24163,5,1,0,False,True,25947,BOTTOM,1,3,1,BOTTOM,2839,7,2,995,30891,6631,21959,32,0,0,0,0,0,425011,63752,20027,CARRY,122,83,118,75,274,Player_326501,BOTTOM,459107,71861,43601,24965,291,379,3,3204,1477,1615,5,5,7,56,2,7,18,True,398,2,675,0,1,4,0,0,37,2.0,0,1,0,0,3,0,37,17,40,0,4,49,2,1,0,0,2,0,7,1,19.0
ASIA,KR,ayam78iq_V80KYbZBSR9lUf8qYQjU8WldyQIMOq0izesb521SHF9HATOk-ldpcjnCYGH3TzKkRmpfw,VvyhEDvTYV7x12ScnTE94Krpb-BGQP1hrIAPCpUGAEnU,KR_6711746454,1695220970696,3070,1695220970696,1695224041388,2023-09-20,CLASSIC,MATCHED_GAME,KR,39,0,22316,18,25,Morgana,249,4098,249,31656,12,13,0,False,True,15067,UTILITY,0,0,1,BOTTOM,0,0,1,600,100814,23997,20198,1,0,0,0,0,0,7392,1895,19225,SUPPORT,106,126,56,18,364,Player_326502,UTILITY,110271,27781,40604,7812,61,434,1,2065,1888,1180,0,0,7,148,13,14,56,True,306,1,0,1,13,12,0,0,57,1.0,0,0,0,0,0,0,32,22,46,0,1,41,2,1,0,0,1,0,14,1,2.0
AMERICAS,BR1,JfVvkLX-kye8z4XV4oO6VKV76hJ-MrMrp2eeMlXC6aXQr_1deXtKHmUU_s1sdJSbIW_xHdwVUDHqCw,BIgnBBhsyUo8xcNUmnNMl3GU5MgQ5sT9jjtNMVCQ1GNdFCg,BR1_2784073179,1691541798160,1589,1691541798160,1691543387378,2023-08-08,CLASSIC,MATCHED_GAME,BR1,5,0,16869,17,84,Akali,6838,7316,6838,13853,4,0,0,False,False,15610,TOP,0,1,0,TOP,0,6,3,687,146054,23975,4064,4,1,0,1,0,0,15979,1460,15214,SOLO,135,22,90,22,411,Player_330252,TOP,171573,26442,19397,3339,197,90,1,9539,1006,119,5,5,1,10,0,1,4,True,269,0,600,0,0,4,0,0,0,1.0,0,0,0,1,3,0,9,22,40,0,7,19,1,0,2,0,1,5,1,0,14.0
AMERICAS,BR1,WxnGbtJpTVpIgN9nUt3VqY6AV06JtO0bIOB6Wm_5CqdbM3NOWQmm2kjUaKBMtPCxXEwnVzCa8aarug,wlxsd-9iTmjUUcNXj5rQAL-TA8w2MSTQ1lsTkNm5o5TU,BR1_2784073179,1691541798160,1589,1691541798160,1691543387378,2023-08-08,CLASSIC,MATCHED_GAME,BR1,8,1,12429,14,245,Ekko,2380,57751,2380,25268,6,2,2,False,False,10176,JUNGLE,1,2,0,JUNGLE,0,0,1,238,129048,6493,8661,143,0,0,1,0,0,31729,1346,21618,NONE,117,38,104,10,774,Player_56521,JUNGLE,206597,8328,30484,15090,17,398,1,45819,488,203,1,3,1,34,2,12,2,True,269,1,0,0,2,6,0,0,0,10.0,0,0,0,0,0,0,7,35,26,0,0,10,1,0,2,0,1,5,12,0,2.0
AMERICAS,BR1,ja69nDRMTzlds7cSzlmKYCzz5OWSnCaKVGMIkYCyakxzhb-tcSahZ2dKypzlFURFlWUTg84UxjjuVQ,LL-9ZDDwaUXx-JcQ9q0I8PD7zhAMu0Wi0Bd8ypj7W_fleAU,BR1_2784073179,1691541798160,1589,1691541798160,1691543387378,2023-08-08,CLASSIC,MATCHED_GAME,BR1,1,0,16295,16,91,Talon,3701,5584,3701,12564,5,0,0,False,False,14004,MIDDLE,0,0,0,MIDDLE,640,5,2,835,0,0,7465,9,0,0,0,0,0,163924,25331,13283,SOLO,67,154,226,13,100,Player_330253,MIDDLE,165416,26079,21210,2633,211,168,1,1491,747,461,1,1,1,10,0,2,2,True,460,1,0,0,0,5,0,0,0,7.0,0,0,0,1,2,0,5,46,70,0,8,15,1,0,2,0,2,5,2,1,14.0
AMERICAS,BR1,BGXIXGhj9q0NODcG3GrGZGKOLOFfpoCqKVfZtppsFd1owERWwgOUI6EwNpN63QxRiBGm7yGABgxBmQ,PQadkoJNcgYHwqnwgQurTtPZlaQ6IGSih4SJtE4zRiKPCUlOYSy-Lnco,BR1_2784073179,1691541798160,1589,1691541798160,1691543387378,2023-08-08,CLASSIC,MATCHED_GAME,BR1,9,0,11597,14,21,MissFortune,3141,7965,3141,6869,8,1,0,False,False,10359,BOTTOM,1,1,0,BOTTOM,677,0,1,415,2927,1079,6681,0,0,0,1,0,0,111368,11950,8862,CARRY,93,70,31,8,1102,Player_6574,BOTTOM,117605,13065,16020,2312,183,112,4,3309,35,476,0,3,1,19,1,0,10,True,202,1,0,0,1,8,0,0,0,0.0,0,0,0,0,0,0,10,17,35,0,0,12,1,0,2,0,3,5,0,0,3.0
AMERICAS,BR1,IrSJn1ZQskZqsIrBmRAcmNN91ELhEpInMJ2_ZSt-vlM9pj42Sv0yNEHrl0-Gfp4-CbUwArjXbT7Weg,ZDrJXgUc6T_hmPQrfd_5by9eTlURex-bLmCdlTpWfII_Z0k,BR1_2784073179,1691541798160,1589,1691541798160,1691543387378,2023-08-08,CLASSIC,MATCHED_GAME,BR1,13,0,8853,12,22,Ashe,1605,10625,1605,3849,5,4,0,False,False,7734,UTILITY,0,1,0,BOTTOM,149,0,0,425,1781,1630,4484,0,0,0,1,0,0,39356,5968,7320,SUPPORT,10,66,20,12,485,Player_112992,UTILITY,42816,7844,12177,1708,18,425,1,1678,244,372,2,5,1,83,4,5,41,True,108,1,0,1,4,5,0,0,7,1.0,0,0,0,0,0,0,12,17,46,0,0,13,1,0,2,0,3,5,5,2,0.0
AMERICAS,BR1,piSPgBU4g-q4RYijvbRabgVJgTrE4aWoeenY8EEIcL1bZVQhuLVDgYzDUNV7QAVqqATtYPrYQTpK2w,x-Yy-lQJG3iLn5KyAjce0QrGT7EngnmXYB7Ln3nRTiQ,BR1_2784073179,1691541798160,1589,1691541798160,1691543387378,2023-08-08,CLASSIC,MATCHED_GAME,BR1,4,0,12696,14,92,Riven,3743,4843,3743,15147,7,1,0,False,False,9603,TOP,0,0,2,TOP,0,2,1,278,486,24,5600,8,0,1,0,0,0,116658,9679,11465,SOLO,272,42,93,13,306,Player_330254,TOP,117145,9703,17916,2304,188,107,1,0,0,850,1,1,9,30,1,1,10,False,420,0,0,0,1,7,0,0,28,0.0,0,0,0,0,0,0,5,340,3,0,0,8,0,0,0,0,1,0,1,0,4.0
AMERICAS,BR1,KS7FlRR5tiD0-xNvluecbmxigwMhHh4ov4rCScR5FMD3KpI2nfDKZhW1tf9Z5dq00rp31guW5e66Qw,MnFRpjvaUxJqCOsHAY0UjPVGdMkthIn1i22ENICdXgYKJSRAy62BQIur,BR1_2784073179,1691541798160,1589,1691541798160,1691543387378,2023-08-08,CLASSIC,MATCHED_GAME,BR1,8,0,11055,13,28,Evelynn,0,12866,0,12870,7,1,1,False,False,9258,JUNGLE,0,0,2,JUNGLE,0,3,1,770,109682,13888,8898,125,0,1,0,0,0,11608,435,17848,NONE,454,26,71,8,599,Player_9242,JUNGLE,149602,15148,27308,9075,7,209,1,28311,823,561,0,0,9,12,1,1,7,False,559,0,150,0,1,7,0,0,4,1.0,0,0,0,0,0,0,9,165,36,0,0,13,0,0,0,0,0,0,1,0,5.0
AMERICAS,BR1,apVh8M45i5vaV1r-LXZmWxLQAMh2kD8hqyc9Ge7fSHw6ZsSG6dYrFTJAszhZrV9eu-wLLqhrGWttzg,PJ4e3USQmqgPJYZ39AS1CYMPLLfKBUPfuwCB9N35Y6OxisE,BR1_2784073179,1691541798160,1589,1691541798160,1691543387378,2023-08-08,CLASSIC,MATCHED_GAME,BR1,7,0,12196,14,950,Naafiri,0,0,0,14829,9,0,0,False,False,10614,MIDDLE,0,0,2,MIDDLE,0,2,1,313,307,270,12622,0,0,1,0,0,0,89911,19098,12672,SOLO,142,12,70,9,743,Player_5852,MIDDLE,92456,20178,25619,4440,178,6,12,2237,810,324,0,0,9,5,0,0,7,False,233,0,375,0,0,9,0,0,0,0.0,0,0,0,0,0,0,6,289,0,0,4,14,0,0,0,0,0,0,0,0,7.0
AMERICAS,BR1,Player Not Found,Player Not Found,BR1_2784073179,1691541798160,1589,1691541798160,1691543387378,2023-08-08,CLASSIC,MATCHED_GAME,BR1,8,0,10309,13,145,Kaisa,444,9832,444,8208,8,1,0,False,False,12582,BOTTOM,0,0,2,BOTTOM,270,3,1,412,74512,11826,5652,8,0,1,0,0,0,71103,8683,12555,CARRY,59,40,102,5,859,Player_159526,BOTTOM,151177,20510,18804,2358,176,3,1,5561,0,597,0,0,9,21,1,3,10,False,206,0,950,0,1,8,0,0,0,0.0,0,1,0,0,0,0,14,194,18,0,1,17,0,0,0,0,0,0,3,0,9.0
AMERICAS,BR1,XX9LkNlMiLJJhPIPzqDL21-432-uKGU8uXLboeLzubtJomBi84RGtEQ_zFMVY-mjXEizIKjZStSiGA,Ybwc5IjKnSl-T3sww3AURIlEJJzYOXTeVfHpBOIGhtVxwDI,BR1_2784073179,1691541798160,1589,1691541798160,1691543387378,2023-08-08,CLASSIC,MATCHED_GAME,BR1,17,0,9120,12,902,Milio,0,192,0,6064,2,3,0,False,False,7197,UTILITY,0,0,2,BOTTOM,0,3,1,814,3637,1856,2351,0,0,1,0,0,0,4524,946,8453,SUPPORT,39,25,78,5,670,Player_7596,UTILITY,10516,2802,10994,5371,25,112,5,2355,0,189,0,0,9,47,5,6,20,False,147,0,0,0,3,2,0,0,35,0.0,0,0,0,0,0,0,17,99,18,0,0,20,0,0,0,0,0,0,6,0,3.0
SEA,TW2,tGJGcTApzmesQKJQKO-UbVQKuK4zRLsPXv7u9eV2BUVdMkItiwskkzWFnEGSL6vW4vUla8zZWsGPVQ,3JJuWfSQkyDZcK22rIAUUG1tOVmvLAZIkiEW9WpChtQOVJlW4Ev1gQlc,TW2_90300245,1688432547752,2010,1688432547752,1688434558293,2023-07-03,CLASSIC,MATCHED_GAME,TW2,6,0,21480,18,164,Camille,13169,17975,13169,77874,6,2,0,False,False,17888,TOP,3,3,0,JUNGLE,0,12,2,796,2147,2147,21165,20,1,0,1,0,0,158865,21589,24891,NONE,259,50,121,9,169,Player_20987,TOP,211520,40038,49262,17530,198,247,1,50507,16301,3204,5,5,2,34,2,4,9,True,439,0,300,0,2,6,0,0,32,7.0,0,0,1,0,3,1,12,7,3,0,5,22,2,1,2,0,5,10,4,0,16.0
SEA,TW2,Cv_ysP2QSB-OV7TNFtmJ8xYM54iwJoQocl6AEeqjBAirC_XiqmLEYqc_Pe62AXwgA0UnGf8Cl2k7VQ,7AxnTm2DOZVVF5hF7MDZ00OsjPV46E0xUSxlkKIIkAWzQ9uCtwecQYSw,TW2_90300245,1688432547752,2010,1688432547752,1688434558293,2023-07-03,CLASSIC,MATCHED_GAME,TW2,19,1,18191,17,64,LeeSin,523,77731,523,82481,6,0,3,False,False,16631,JUNGLE,0,1,0,JUNGLE,0,7,2,751,51514,5738,12738,140,0,0,0,0,0,148910,20721,31712,NONE,239,241,179,12,58,Player_330893,JUNGLE,251766,27370,46954,26455,27,399,1,51341,910,2503,0,2,2,24,0,6,7,True,671,2,300,0,0,6,0,0,30,5.0,0,0,0,0,2,0,20,13,26,0,3,31,2,1,2,0,3,10,6,0,12.0
